127.0.0.1 - - [02/Jun/2024:11:10:18 +0000] "GET /users HTTP/1.1" 500 1642 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:10:41 +0000] "POST /auth/login HTTP/1.1" 200 1264 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:10:54 +0000] "GET /enrollments/ HTTP/1.1" 200 1063 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:12:09 +0000] "POST /enrollments/ HTTP/1.1" 201 220 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:12:20 +0000] "GET /enrollments/ HTTP/1.1" 200 1370 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:13:04 +0000] "DELETE /enrollments/665c5389da034c7fc3499687 HTTP/1.1" 204 - "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:13:08 +0000] "GET /enrollments/ HTTP/1.1" 200 1063 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:13:17 +0000] "POST /enrollments/ HTTP/1.1" 404 388 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:14:53 +0000] "POST /enrollments/ HTTP/1.1" 404 388 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:15:18 +0000] "POST /enrollments/ HTTP/1.1" 404 31 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:15:39 +0000] "POST /enrollments/ HTTP/1.1" 404 59 "-" "Thunder Client (https://www.thunderclient.com)"
127.0.0.1 - - [02/Jun/2024:11:15:53 +0000] "GET /users?filter[isAdmin]=false HTTP/1.1" 304 - "http://localhost:3000/nobelhizliokuma/admin-dashboard/ogrenciler" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [02/Jun/2024:11:15:53 +0000] "GET /users?filter[isAdmin]=false HTTP/1.1" 304 - "http://localhost:3000/nobelhizliokuma/admin-dashboard/ogrenciler" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [02/Jun/2024:11:15:53 +0000] "GET /users?filter[isAdmin]=false HTTP/1.1" 304 - "http://localhost:3000/nobelhizliokuma/admin-dashboard/ogrenciler" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [02/Jun/2024:11:21:23 +0000] "GET /courses/ HTTP/1.1" 304 - "http://localhost:3000/nobelhizliokuma/admin-dashboard/kurslar" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [02/Jun/2024:11:21:23 +0000] "GET /courses/ HTTP/1.1" 304 - "http://localhost:3000/nobelhizliokuma/admin-dashboard/kurslar" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [02/Jun/2024:11:21:23 +0000] "GET /courses/ HTTP/1.1" 304 - "http://localhost:3000/nobelhizliokuma/admin-dashboard/kurslar" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [02/Jun/2024:11:24:46 +0000] "GET /users?filter[isAdmin]=false HTTP/1.1" 304 - "http://localhost:3000/nobelhizliokuma/admin-dashboard/ogrenciler" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [02/Jun/2024:11:24:46 +0000] "GET /users?filter[isAdmin]=false HTTP/1.1" 304 - "http://localhost:3000/nobelhizliokuma/admin-dashboard/ogrenciler" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [02/Jun/2024:11:24:46 +0000] "GET /users?filter[isAdmin]=false HTTP/1.1" 304 - "http://localhost:3000/nobelhizliokuma/admin-dashboard/ogrenciler" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
